 0  is a number(rule1)
123 is a number (rule2)
123 is a number (rule2)
0123 is a number (rule6)
12.3 is a number (rule4)
12.03 is a number (rule4)
-123 is a number (rule2)
 0  is a number(rule1)
12.3 is a number (rule4)
-5 is a number (rule2)
0x123 is a number (rule7)
0XA9B is a number (rule7)
0.12 is a number (rule3)
5 is a number (rule2)
-1.0023 is a number (rule4)
4 is a number (rule2)

-0xA98F is a number (rule7)
0XA98 is a number (rule7)
0.123 is a number (rule3)
-18 is a number (rule2)
012 is a number (rule6)
8 is a number (rule2)
0123 is a number (rule6)
